Band start [cm-1],Band end [cm-1],Type,Information,Description,Reference
3577,3682,min,Oxides,oxides,"Tinti et al., 2015"
3620,3690,min,Clay minerals,"Clay minerals, Kaolinite","Soriano-Disla et al., 2014"
3620,3630,min,Clay minerals,"Clay minerals, Smectite and Illite","Soriano-Disla et al., 2014"
3620,3620,min,Clay minerals,O-H bonds Smectite,"Le Guillou et al., 2015"
3620,3700,min,Phyllosilicates,2:1 and 1:1 layer silicates OH stretching,"Margenot et al., 2016"
3620,3630,min,Phyllosilicates,Internal OH groups between tetrahedral and octahedral sheets of Phyllosilicates,"Margenot et al., 2016"
3626,3626,min,Clay minerals,"OH stretching in clays (Kaolinite, Smectite","Jović et al., 2019"
3630,3630,min,Clay minerals,O-H bonds Smectite,"Le Guillou et al., 2015"
3630,3630,min,Clay minerals,O-H stretching in clays,"Calderón et al., 2013"
3685,3719,min,Clay minerals,"Si-O-H vibration of clays, kaolinite, Fe oxides","Tinti et al., 2015"
3695,3695,min,Clay minerals,"OH stretching in clays (Kaolinite, Smectite)","Jović et al., 2019"
3700,3700,min,Phyllosilicates,H-bonding between the octahedral surface OH and O from the underlying tetrahedral layer of phyllosilicates,"Margenot et al., 2016"
4090,4090,min,Illite,Illite,"Soriano-Disla et al., 2014"
4167,4545,org,Organic matter,Organic matter,"Soriano-Disla et al., 2014"
4219,4219,org,SOM,Soil organic matter,"Asgari et al., 2020"
4274,4274,min,Clay minerals,Clay minerals Illite,"Soriano-Disla et al., 2014"
4283,4283,min,Carbonates,Carbonates,"Soriano-Disla et al., 2014"
4310,4310,org,SOM,Soil organic matter,"Asgari et al., 2020"
4545,4545,min,Clay minerals,"Clay minerals - Kaolinite, Illite, Smectite","Soriano-Disla et al., 2014"
5000,5000,org,Organic matter,Organic matter,"Soriano-Disla et al., 2014"
5263,5263,water,Water,Water,"Soriano-Disla et al., 2014"
5556,5556,org,Organic matter,Organic matter,"Soriano-Disla et al., 2014"
5882,5882,org,Organic matter,Organic matter,"Soriano-Disla et al., 2014"
6250,6250,org,Organic matter,Organic matter,"Soriano-Disla et al., 2014"
7143,7143,min,Clay minerals,Clay minerals - Kalolinite,"Soriano-Disla et al., 2014"
7143,7143,water,Water,Water,"Soriano-Disla et al., 2014"
